  t  action    gain  overload  imbalance     r_t
------------------------------------------------
  1    REST   0.358     0.072      0.000   0.286
  2    REST   0.294     0.065      0.000   0.229
  3    REST   0.347     0.067      0.000   0.281
  4    REST   0.328     0.066      0.000   0.262
  5    REST   0.376     0.068      0.000   0.308
  6    REST   0.397     0.070      0.000   0.327
  7    REST   0.401     0.071      0.000   0.330
  8    REST   0.408     0.073      0.000   0.336
  9    REST   0.331     0.072      0.000   0.259
 10    REST   0.382     0.074      0.000   0.307
 11    REST   0.355     0.074      0.000   0.281
 12    REST   0.399     0.076      0.000   0.323
 13    REST   0.413     0.077      0.000   0.336
 14    REST   0.416     0.078      0.000   0.338
 15    REST   0.418     0.078      0.000   0.340
 16    REST   0.338     0.076      0.000   0.262
 17    REST   0.387     0.078      0.000   0.310
 18    REST   0.359     0.077      0.000   0.282
 19    REST   0.402     0.078      0.000   0.324
 20    REST   0.416     0.079      0.000   0.337
 21    REST   0.418     0.079      0.000   0.339
 22    REST   0.420     0.079      0.000   0.341
 23    REST   0.339     0.077      0.000   0.262
 24    REST   0.388     0.078      0.000   0.310
 25    REST   0.360     0.078      0.000   0.282
 26    REST   0.402     0.079      0.000   0.324
 27    REST   0.416     0.079      0.000   0.337
 28    REST   0.418     0.079      0.000   0.339

Total reward: 8.591
