  t  action    gain  overload  imbalance     r_t
------------------------------------------------
  1    LEGS   0.293     0.059      0.046   0.188
  2    LEGS   0.222     0.051      0.066   0.105
  3    LEGS   0.281     0.053      0.092   0.136
  4    LEGS   0.296     0.055      0.083   0.159
  5    LEGS   0.321     0.056      0.060   0.205
  6    LEGS   0.316     0.058      0.055   0.204
  7    LEGS   0.311     0.058      0.055   0.198
  8    LEGS   0.327     0.059      0.030   0.238
  9    LEGS   0.315     0.060      0.080   0.175
 10    LEGS   0.318     0.062      0.081   0.175
 11    LEGS   0.334     0.063      0.063   0.207
 12    LEGS   0.354     0.065      0.051   0.238
 13    LEGS   0.342     0.065      0.053   0.223
 14    LEGS   0.326     0.066      0.054   0.206
 15    LEGS   0.323     0.066      0.075   0.182
 16    LEGS   0.320     0.066      0.078   0.176
 17    LEGS   0.335     0.066      0.061   0.208
 18    LEGS   0.355     0.067      0.050   0.238
 19    LEGS   0.340     0.067      0.053   0.220
 20    LEGS   0.355     0.067      0.042   0.246
 21    LEGS   0.338     0.067      0.086   0.185
 22    LEGS   0.333     0.067      0.082   0.183
 23    LEGS   0.343     0.068      0.062   0.213
 24    LEGS   0.330     0.068      0.056   0.206
 25    LEGS   0.338     0.068      0.071   0.198
 26    LEGS   0.317     0.067      0.065   0.185
 27    LEGS   0.322     0.067      0.071   0.184
 28    LEGS   0.336     0.066      0.060   0.210

Total reward: 5.492
