match_id,player_a,player_b,a_role,winner,a_score,elo_a_after,elo_b_after
1,MADDPG,QMIX,cop,thief,0,1484.0,1516.0
2,MADDPG,QMIX,cop,cop,1,1501.5,1498.5
3,MADDPG,QMIX,cop,thief,0,1485.3,1514.7
4,MADDPG,QMIX,cop,cop,1,1502.7,1497.3
5,MADDPG,QMIX,cop,cop,1,1518.4,1481.6
6,MADDPG,QMIX,cop,thief,0,1500.7,1499.3
7,MADDPG,QMIX,cop,cop,1,1516.7,1483.3
8,MADDPG,QMIX,cop,cop,1,1531.1,1468.9
9,MADDPG,QMIX,cop,thief,0,1512.3,1487.7
10,MADDPG,QMIX,cop,cop,1,1527.2,1472.8
11,MADDPG,QMIX,thief,thief,1,1540.7,1459.3
12,MADDPG,QMIX,thief,thief,1,1553.0,1447.0
13,MADDPG,QMIX,thief,thief,1,1564.3,1435.7
14,MADDPG,QMIX,thief,thief,1,1574.6,1425.4
15,MADDPG,QMIX,thief,thief,1,1584.1,1415.9
16,MADDPG,QMIX,thief,thief,1,1592.9,1407.1
17,MADDPG,QMIX,thief,thief,1,1601.1,1398.9
18,MADDPG,QMIX,thief,thief,1,1608.7,1391.3
19,MADDPG,QMIX,thief,thief,1,1615.8,1384.2
20,MADDPG,QMIX,thief,thief,1,1622.5,1377.5
21,MADDPG,QPLEX,cop,cop,1,1633.1,1489.4
22,MADDPG,QPLEX,cop,cop,1,1642.8,1479.7
23,MADDPG,QPLEX,cop,cop,1,1651.8,1470.7
24,MADDPG,QPLEX,cop,cop,1,1660.2,1462.3
25,MADDPG,QPLEX,cop,thief,0,1635.9,1486.6
26,MADDPG,QPLEX,cop,cop,1,1645.4,1477.1
27,MADDPG,QPLEX,cop,thief,0,1622.2,1500.3
28,MADDPG,QPLEX,cop,cop,1,1632.8,1489.7
29,MADDPG,QPLEX,cop,thief,0,1610.6,1511.9
30,MADDPG,QPLEX,cop,thief,0,1590.2,1532.3
31,MADDPG,QPLEX,thief,thief,1,1603.5,1519.0
32,MADDPG,QPLEX,thief,thief,1,1615.7,1506.8
33,MADDPG,QPLEX,thief,thief,1,1626.9,1495.7
34,MADDPG,QPLEX,thief,thief,1,1637.1,1485.4
35,MADDPG,QPLEX,thief,thief,1,1646.5,1476.0
36,MADDPG,QPLEX,thief,thief,1,1655.2,1467.3
37,MADDPG,QPLEX,thief,thief,1,1663.3,1459.2
38,MADDPG,QPLEX,thief,thief,1,1670.9,1451.6
39,MADDPG,QPLEX,thief,thief,1,1677.9,1444.6
40,MADDPG,QPLEX,thief,thief,1,1684.6,1437.9
41,MADDPG,VDN,cop,cop,1,1692.8,1491.8
42,MADDPG,VDN,cop,thief,0,1668.4,1516.1
43,MADDPG,VDN,cop,cop,1,1677.8,1506.7
44,MADDPG,VDN,cop,cop,1,1686.5,1498.0
45,MADDPG,VDN,cop,cop,1,1694.6,1489.9
46,MADDPG,VDN,cop,cop,1,1702.2,1482.4
47,MADDPG,VDN,cop,cop,1,1709.2,1475.4
48,MADDPG,VDN,cop,cop,1,1715.8,1468.8
49,MADDPG,VDN,cop,cop,1,1722.0,1462.5
50,MADDPG,VDN,cop,cop,1,1727.9,1456.7
51,MADDPG,VDN,thief,thief,1,1733.4,1451.1
52,MADDPG,VDN,thief,thief,1,1738.7,1445.9
53,MADDPG,VDN,thief,thief,1,1743.7,1440.9
54,MADDPG,VDN,thief,thief,1,1748.5,1436.1
55,MADDPG,VDN,thief,thief,1,1753.0,1431.5
56,MADDPG,VDN,thief,thief,1,1757.4,1427.2
57,MADDPG,VDN,thief,thief,1,1761.5,1423.0
58,MADDPG,VDN,thief,thief,1,1765.5,1419.0
59,MADDPG,VDN,thief,thief,1,1769.4,1415.2
60,MADDPG,VDN,thief,thief,1,1773.0,1411.5
61,MADDPG,IQL,cop,thief,0,1746.5,1526.5
62,MADDPG,IQL,cop,cop,1,1753.6,1519.5
63,MADDPG,IQL,cop,cop,1,1760.2,1512.9
64,MADDPG,IQL,cop,cop,1,1766.4,1506.7
65,MADDPG,IQL,cop,cop,1,1772.3,1500.8
66,MADDPG,IQL,cop,cop,1,1777.8,1495.2
67,MADDPG,IQL,cop,thief,0,1751.1,1522.0
68,MADDPG,IQL,cop,thief,0,1725.8,1547.2
69,MADDPG,IQL,cop,thief,0,1702.2,1570.8
70,MADDPG,IQL,cop,cop,1,1712.5,1560.6
71,MADDPG,IQL,thief,thief,1,1721.9,1551.2
72,MADDPG,IQL,thief,thief,1,1730.6,1542.4
73,MADDPG,IQL,thief,cop,0,1706.7,1566.4
74,MADDPG,IQL,thief,thief,1,1716.6,1556.5
75,MADDPG,IQL,thief,thief,1,1725.7,1547.4
76,MADDPG,IQL,thief,cop,0,1702.1,1570.9
77,MADDPG,IQL,thief,thief,1,1712.3,1560.7
78,MADDPG,IQL,thief,thief,1,1721.8,1551.3
79,MADDPG,IQL,thief,thief,1,1730.5,1542.6
80,MADDPG,IQL,thief,thief,1,1738.6,1534.5
81,MADDPG,Random,cop,cop,1,1745.1,1493.5
82,MADDPG,Random,cop,cop,1,1751.1,1487.4
83,MADDPG,Random,cop,cop,1,1756.9,1481.7
84,MADDPG,Random,cop,cop,1,1762.3,1476.2
85,MADDPG,Random,cop,cop,1,1767.5,1471.1
86,MADDPG,Random,cop,cop,1,1772.4,1466.2
87,MADDPG,Random,cop,cop,1,1777.1,1461.5
88,MADDPG,Random,cop,cop,1,1781.6,1457.0
89,MADDPG,Random,cop,cop,1,1785.9,1452.7
90,MADDPG,Random,cop,cop,1,1790.0,1448.6
91,MADDPG,Random,thief,thief,1,1793.9,1444.7
92,MADDPG,Random,thief,thief,1,1797.7,1440.9
93,MADDPG,Random,thief,thief,1,1801.3,1437.3
94,MADDPG,Random,thief,thief,1,1804.8,1433.8
95,MADDPG,Random,thief,thief,1,1808.2,1430.4
96,MADDPG,Random,thief,thief,1,1811.5,1427.1
97,MADDPG,Random,thief,thief,1,1814.6,1424.0
98,MADDPG,Random,thief,thief,1,1817.7,1420.9
99,MADDPG,Random,thief,thief,1,1820.6,1418.0
100,MADDPG,Random,thief,thief,1,1823.5,1415.1
101,QMIX,MADDPG,cop,thief,0,1375.2,1825.8
102,QMIX,MADDPG,cop,thief,0,1373.0,1828.0
103,QMIX,MADDPG,cop,thief,0,1370.8,1830.2
104,QMIX,MADDPG,cop,thief,0,1368.7,1832.3
105,QMIX,MADDPG,cop,thief,0,1366.6,1834.4
106,QMIX,MADDPG,cop,thief,0,1364.6,1836.4
107,QMIX,MADDPG,cop,thief,0,1362.6,1838.4
108,QMIX,MADDPG,cop,thief,0,1360.7,1840.3
109,QMIX,MADDPG,cop,thief,0,1358.8,1842.2
110,QMIX,MADDPG,cop,thief,0,1356.9,1844.1
111,QMIX,MADDPG,thief,cop,0,1355.1,1845.9
112,QMIX,MADDPG,thief,cop,0,1353.3,1847.7
113,QMIX,MADDPG,thief,cop,0,1351.5,1849.5
114,QMIX,MADDPG,thief,cop,0,1349.8,1851.2
115,QMIX,MADDPG,thief,thief,1,1380.1,1820.9
116,QMIX,MADDPG,thief,thief,1,1409.8,1791.2
117,QMIX,MADDPG,thief,cop,0,1406.6,1794.4
118,QMIX,MADDPG,thief,cop,0,1403.5,1797.5
