algo,grid,episode,cop_reward,winner,epsilon,critic_loss
qmix,5x5,0,-2.420000000000001,thief,1.0,0.0
qmix,5x5,1,-2.3500000000000005,thief,0.9962,0.0
qmix,5x5,2,0.75,cop,0.9924,0.0
qmix,5x5,3,-2.4000000000000004,thief,0.9886,0.0
qmix,5x5,4,-2.3500000000000005,thief,0.9848,0.0
qmix,5x5,5,-2.4000000000000004,thief,0.981,0.0
qmix,5x5,6,-2.3500000000000005,thief,0.9772,0.0
qmix,5x5,7,-2.3400000000000007,thief,0.9734,0.0
qmix,5x5,8,0.09999999999999976,cop,0.9696,0.0
qmix,5x5,9,-2.3500000000000005,thief,0.9658,15.463583946228027
qmix,5x5,10,-2.3500000000000005,thief,0.962,9.175437927246094
qmix,5x5,11,0.29999999999999993,cop,0.9582,5.568720817565918
qmix,5x5,12,-2.3000000000000007,thief,0.9544,4.940001964569092
qmix,5x5,13,0.029999999999999694,cop,0.9506,4.455992698669434
qmix,5x5,14,-2.4000000000000004,thief,0.9468,4.566009521484375
qmix,5x5,15,-2.3200000000000003,thief,0.9430000000000001,3.9258315563201904
qmix,5x5,16,-2.3500000000000005,thief,0.9392,3.9057085514068604
qmix,5x5,17,0.8999999999999999,cop,0.9354,5.008559226989746
qmix,5x5,18,-2.3500000000000005,thief,0.9316,4.0421624183654785
qmix,5x5,19,-2.4400000000000004,thief,0.9278,3.7102737426757812
qmix,5x5,20,-2.4000000000000004,thief,0.924,4.868964195251465
qmix,5x5,21,0.7999999999999999,cop,0.9202,4.253936767578125
qmix,5x5,22,-2.3500000000000005,thief,0.9164,3.166785955429077
qmix,5x5,23,-2.3500000000000005,thief,0.9126,2.9848108291625977
qmix,5x5,24,-2.4000000000000004,thief,0.9088,3.3286187648773193
qmix,5x5,25,0.09999999999999987,cop,0.905,3.335452079772949
qmix,5x5,26,-2.4000000000000004,thief,0.9012,2.8762705326080322
qmix,5x5,27,0.75,cop,0.8974,3.427380323410034
qmix,5x5,28,-2.4000000000000004,thief,0.8936,2.756107807159424
qmix,5x5,29,-2.3000000000000007,thief,0.8898,3.130810260772705
qmix,5x5,30,-2.3500000000000005,thief,0.886,3.4959378242492676
qmix,5x5,31,-2.4000000000000004,thief,0.8822,2.6283133029937744
qmix,5x5,32,-2.400000000000001,thief,0.8784,2.95363187789917
qmix,5x5,33,0.8999999999999999,cop,0.8746,3.8490922451019287
qmix,5x5,34,-2.370000000000001,thief,0.8708,2.8641977310180664
qmix,5x5,35,-2.4000000000000004,thief,0.867,1.9857045412063599
